Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2694B,01/01/2024 00:00:00,00:14:00,0,33,2,8,5,,,,,,,,,,,,,,,62,48
M4/2694B,01/01/2024 00:00:00,00:29:00,1,28,2,5,20,,,,,,,,,,,,,,,61,55
M4/2694B,01/01/2024 00:00:00,00:44:00,2,73,2,7,13,,,,,,,,,,,,,,,61,95
M4/2694B,01/01/2024 00:00:00,00:59:00,3,92,2,5,2,,,,,,,,,,,,,,,61,101
M4/2694B,01/01/2024 00:00:00,01:14:00,4,101,3,5,11,,,,,,,,,,,,,,,62,120
M4/2694B,01/01/2024 00:00:00,01:29:00,5,76,3,2,3,,,,,,,,,,,,,,,63,84
M4/2694B,01/01/2024 00:00:00,01:44:00,6,68,0,0,1,,,,,,,,,,,,,,,62,69
M4/2694B,01/01/2024 00:00:00,01:59:00,7,63,3,10,1,,,,,,,,,,,,,,,61,77
M4/2694B,01/01/2024 00:00:00,02:14:00,8,39,3,12,42,,,,,,,,,,,,,,,58,96
M4/2694B,01/01/2024 00:00:00,02:29:00,9,45,1,10,25,,,,,,,,,,,,,,,60,81
M4/2694B,01/01/2024 00:00:00,02:44:00,10,60,0,12,11,,,,,,,,,,,,,,,60,83
M4/2694B,01/01/2024 00:00:00,02:59:00,11,30,1,4,27,,,,,,,,,,,,,,,60,62
M4/2694B,01/01/2024 00:00:00,03:14:00,12,33,2,3,9,,,,,,,,,,,,,,,61,47
M4/2694B,01/01/2024 00:00:00,03:29:00,13,30,1,0,1,,,,,,,,,,,,,,,60,32
M4/2694B,01/01/2024 00:00:00,03:44:00,14,47,1,2,4,,,,,,,,,,,,,,,61,54
M4/2694B,01/01/2024 00:00:00,03:59:00,15,25,4,9,22,,,,,,,,,,,,,,,59,60
M4/2694B,01/01/2024 00:00:00,04:14:00,16,25,0,0,14,,,,,,,,,,,,,,,59,39
M4/2694B,01/01/2024 00:00:00,04:29:00,17,26,1,4,5,,,,,,,,,,,,,,,60,36
M4/2694B,01/01/2024 00:00:00,04:44:00,18,42,3,3,10,,,,,,,,,,,,,,,60,58
M4/2694B,01/01/2024 00:00:00,04:59:00,19,56,0,3,1,,,,,,,,,,,,,,,61,60
M4/2694B,01/01/2024 00:00:00,05:14:00,20,62,1,4,3,,,,,,,,,,,,,,,63,70
M4/2694B,01/01/2024 00:00:00,05:29:00,21,58,0,1,10,,,,,,,,,,,,,,,64,69
